,dates,titles,tag,descriptions
1793,"February 9, 2018",Former top official with Guatemalan National Police arrested on visa fraud charge for allegedly failing to disclose murder charges,"|Human Rights Violators, Document and Benefit Fraud","ICE HSI arrested Catalino Esteban Valiente Alonzo, 77, of Fontana, who was previously the chief of the National Police in Quetzaltenango, Guatemala, after Valiente was charged in a one-count indictment returned by a federal grand jury."
1794,"February 8, 2018",Human smuggler from Tennessee sentenced in South Texas to 4 years in federal prison for using aftermarket wooden boxes to transport illegal aliens,|Human Smuggling/Trafficking,"Zachary Steven Blizzard, 27, from Kingport, Tennessee, was sentenced Feb. 8 by U.S. District Judge Hilda G. Tagle to 48 months in federal prison and to three years of supervised release.  Blizzard pleaded guilty to the human smuggling charges Sept. 5, 2017."
1795,"February 8, 2018",Twice-deported Guatemalan involved in fatal car crash that killed 2 men in Indianapolis also faces federal immigration charges,|Enforcement and Removal,"According to the criminal complaint, Manuel Orrego-Zavala, aka Manuel Orrego-Savala, 37, was arrested Feb. 4, 2018, by law enforcement in Indianapolis for being involved in a fatal accident on Interstate Highway 70."
1796,"February 7, 2018","CBP officer indicted, arrested for child pornography",|Child Exploitation,"HSI special agents arrested Alfredo Maysonet-Galarza, 57, of Toa Alta, after a joint ICE HSI and DHS OIG investigation revealed that during 2015, Maysonet-Galarza used a well-known peer-to-peer file sharing program to advertise for sharing certain videos and images depicting prepubescent minors engaging in sexually explicit conduct."
1797,"February 7, 2018","Rabobank National Association pleads guilty, agrees to pay $369 million",|Financial Crimes,"Rabobank National Association (Rabobank), a California subsidiary of the Netherlands-based Cooperatieve Rabobank U.A., pleaded guilty to a felony conspiracy charge and agreed to pay $368,701,259 – the largest financial penalty in the Southern District of California – as part of a plea agreement to settle allegations that it hid deficiencies in its anti-money laundering program."
1798,"February 7, 2018",ICE and Oklahoma-based law enforcement arrest 10 after executing 9 search warrants in Oklahoma looking for evidence of heroin smuggling and distribution,|Narcotics,The subjects targeted are estimated to be supplying as much as two-thirds of the heroin in the Tulsa area.
1799,"February 7, 2018",Montana man sentenced to 12 ½ years in federal prison for local methamphetamine distribution ring,|Narcotics,"Michael Lee Lira, 53, of Billings, Montana, was sentenced Feb. 7 to 150 months in prison, five years of supervised release, and a $100 special assessment. U.S. District Judge Brian M. Morris presided over the hearing."
1800,"February 6, 2018","Child sex offender sentenced in NM to 25 years for child exploitation, receiving child pornography",|Child Exploitation,"Michael Ray Sepulveda, 39, from Silver City, New Mexico, must also register as a sex offender after he completes his prison sentence."
1801,"February 6, 2018",Va man pleads guilty to traveling to Haiti to engage in illicit sexual conduct,|Child Exploitation,"James Daniel Arbaugh, 40, faces a maximum statutory penalty of up to 30 years in prison and/or a fine of up to $250,000."
1802,"February 6, 2018","ICE, FBI fight to protect girls and women from mutilation and abuse",|Human Rights Violators,"Feb. 6 marks the International Day of Zero Tolerance for Female Genital Mutilation, a day in which the global community recognizes that more than 200 million girls and women alive today have undergone female genital mutilation, or cutting."
1803,"February 6, 2018",Saudi citizen charged in Oklahoma with concealing attendance at al Qaeda training camp,|National Security,"Based on a criminal complaint signed in the Western District of Oklahoma and unsealed Tuesday, Naif Abdulaziz M. Alfallaj, 34, a citizen of Saudi Arabia and a current resident of Weatherford, Oklahoma, was taken into custody by the FBI without incident Feb. 5."
1804,"February 5, 2018","Reward for information leading to capture of fugitive human trafficking suspect increased to $16,000",|Human Smuggling/Trafficking,"Darrick Bell, 49, aka Tone or Ghost, a U.S. citizen, is the subject of a yearlong manhunt, following the takedown of a large-scale, Detroit-based human trafficking and narcotics operation in January 2017."
1805,"February 2, 2018",Former attorney sentenced to 7 years in prison for money laundering,|Financial Crimes,"According to court documents, from at least March 2013 to February 2017, Raymond Juiwen Ho, 48, of Vienna, engaged in a large-scale money laundering scheme that resulted in millions of dollars being moved through bank accounts  that Ho or his co-conspirators controlled."
1806,"February 1, 2018",ICE repatriates Mexican national wanted for homicide and violent robbery,|Enforcement and Removal,"Gilberto Ramos-Prado, 46, was transferred to the custody of representatives from Mexico’s Procuraduria General de la Republica (PGR) and Mexican immigration officials by ERO officers at the Nogales DeConcini Port of Entry. Gilberto Ramos-Prado most recently came into ICE custody Jan. 12, after serving four months in federal prison for an illegal re-entry conviction."
1807,"February 1, 2018",'Operation Team Player' nets over $15 million in fake sports merchandise,|Intellectual Property Rights and Commercial Fraud,"Special agents from HSI teamed with industry, CBP, FBI, Minneapolis police officers and other partner agencies to identify flea markets, retail outlets and street vendors selling counterfeit goods during the week leading up to Super Bowl LII. They seized fake jerseys, hats, cell-phone accessories and thousands of other bogus items prepared to be sold to unsuspecting consumers."
1808,"February 1, 2018",2 men indicted for scheme to export firearms to Kurds in Iraq,|Counter Proliferation Investigation Unit,"Paul Stuart Brunt, 51, of Bellevue, Washington, and Rawnd Khaleel Aldalawi, 29, of Seattle, were arrested on a criminal complaint January 24, 2018. "
1809,"January 31, 2018",ICE detainee passes away,|Detainee Death Notifications,"ICE is firmly committed to the health and welfare of all those in its custody and is undertaking a comprehensive review of this incident, as it does in all such cases. Fatalities in ICE custody, statistically, are exceedingly rare and occur at a fraction of the rate of the U.S. detained population as a whole."
1810,"January 31, 2018",ICE removes former soldier of the Republika Serbian Krajina wanted for aggravated murder,|Human Rights Violators,"Slobodan Mutic, 54, is wanted by Croatian authorities for aggravated murder. He was ordered removed on Oct. 23, 2017, by a federal immigration judge based on his criminal conviction. On Jan. 6, 2016, Slobodan was sentenced to two years in prison, for knowingly and willingly possessing a Form I-94, arrival/departure record, knowing it to have been procured by means of any false claim or statement, or to have been otherwise procured by fraud and unlawfully obtained."
1811,"January 31, 2018","California woman sentenced in South Texas to 9 years in federal prison for importing meth, heroin",|Narcotics,"Aurelia Rufino-Pilar, 42, from Bakersfield, California, was sentenced Jan. 31 by U.S. District Court Judge Diana Saldana to 108 months in federal prison. She is a U.S. permanent resident but is expected to face deportation proceedings following her release from prison."
1812,"January 30, 2018",Maryland man sentenced to 102 months for drug trafficking,|Narcotics,"Bradley Cobbler, 35, of Hyattsville, Maryland, pleaded guilty to one count of conspiracy to distribute and possession with intent to distribute cocaine and marijuana. He was sentenced Jan. 29 by the Honorable Amit P. Mehta. Following his prison term, Cobbler will be placed on five years of supervised release."
1813,"January 30, 2018",ICE returns prolific Colombian international money launderer,|Enforcement and Removal,"Jhon Hincapie-Ramirez, 57, was escorted by ERO officers via an ICE Air Operations charter flight and turned over to Colombian law enforcement authorities. In February 2015, Hincapie-Ramirez was charged in U.S. federal court with conspiracy to launder money."
1814,"January 30, 2018",ICE HSI Special Agent Celestino Martinez to attend State of the Union Address,|Operational,ICE HSI Supervisory Special Agent Celestino Martinez will attend the State of Union Address as a guest of President Donald Trump and First Lady Melania Trump in recognition of Martinez's extraordinary work combatting transnational criminal gangs in New York.
1815,"January 30, 2018",3 sentenced in counterfeit credit card scheme,|Financial Crimes,"Raul Perez, 38, sentenced to 24 months imprisonment with credit for time served, three years supervised release and restitution in the amount of $14,992.96; Alexis Delgado, 44, sentenced to 18 months imprisonment with credit for time served, three years supervised release, restitution in the amount of $14,992.96, and a $5,000 fine; and, Leyanis Menendez, 38, sentenced to 18 months imprisonment with credit for time served, three years supervised release, restitution in the amount of $14,992.96, and a $5,000 fine."
1816,"January 29, 2018","Former Fort Hood, Texas, soldier pleads guilty to alien smuggling",|Human Smuggling/Trafficking,"Victoriano Zamora-Jasso aka “Tata,” 51, from Mexico living in Houston made an appearance Jan. 29 in federal court on the eve of jury selection."
1817,"January 29, 2018",Albemarle-Charlottesville Regional Jail Board upholds current ICE notification policy,|Enforcement and Removal,"At its Thursday meeting, members of the Albemarle-Charlottesville Regional Jail (ACRJ) Board voted to uphold current jail policy to notify U.S. Immigration and Customs Enforcement (ICE) up to 48 hours in advance of an alien’s release from local custody."
1818,"January 26, 2018",ICE arrests 86 in North Texas and Oklahoma areas during 3-day operation targeting criminal aliens and immigration fugitives,|Enforcement and Removal,"Aliens arrested during this operation are from the following countries:  Mexico (55), Guatemala (10), El Salvador (6), Honduras (4) Bangladesh (3), Cameroon (1) Jordan (1), Laos (1), Liberia (1), Nigeria (1), Panama (1), Philippines (1) and Zimbabwe (1)."
1819,"January 26, 2018",ICE removes fugitive alien wanted for human trafficking in El Salvador,|Enforcement and Removal,"Oscar Arturo Alfaro-Romero, a 35-year-old alien fugitive with multiple prior removals, was arrested by ICE May 10, 2017. He was processed as an alien previously removed, and qualified for removal under reinstatement. ICE was subsequently notified that Alfaro-Romero was wanted for crimes in El Salvador."
1820,"January 26, 2018",Colombian National Police and ICE open forensic laboratory dedicated to child exploitation investigations ,|Child Exploitation,"Since 2014, HSI Bogota has prioritized the investigation of child exploitation/child pornography in Colombia and has conducted extensive training for the CNP and prosecutors.  However, Colombia did not have a cyber forensics laboratory dedicated to analyzing electronic media, which caused a delay in investigations. Now, with the help of the U.S. Department of State, Bureau of International Narcotics and Law Enforcement (INL), this state of the art lab will streamline investigations and eventually be used to assist other countries in the region in child exploitation investigations."
1821,"January 26, 2018",2 additional men convicted in large scale child exploitation conspiracy,|Child Exploitation,"Dylan Heatherly, 34, of Lemon Grove, Calif. and William Staples, 57, of Harrodsburg, Kentucky, were convicted Thursday of multiple child exploitation crimes, including conspiracy offenses, after a seven-day jury trial."
1822,"January 24, 2018",North Texas man sentenced to nearly 4 years in federal prison for conspiring to illegally export radiation-hardened integrated circuits to Russia and China,|Counter Proliferation Investigation Unit,"According to the plea agreement, between about June 2015 and March 2016, Peter Zuccarelli, 62, of Plano, Texas, and his co-conspirators agreed to illegally export RHICs to China and Russia in violation of the International Emergency Economic Powers Act (IEEPA)."
1823,"January 19, 2018",ICE HSI Special Agents featured in National Geographic documentary series ,|Human Smuggling/Trafficking,"Homeland Security Investigations (HSI) Special Agent Eduardo Escobar, along with other personnel from HSI Colombia, will be featured in part 3 of the documentary series Chain of Command airing Jan. 19 on National Geographic Channel."
1824,"January 18, 2018",ICE removes French national wanted for murder,|Enforcement and Removal,"ERO deportation officers escorted Fode Youssouf Barro, 29, who was removed from the United States via a commercial flight. Barro was transferred into the custody of French law enforcement authorities upon arrival in Paris."
1825,"January 18, 2018","US, ICE seek denaturalization of former Bosnian paramilitary member who allegedly lied to obtain US citizenship",|Human Rights Violators,"Eso Razic, a native of the former Yugoslavia and subsequently a citizen of the Republic of Bosnia and Herzegovina, allegedly concealed his participation in paramilitary organizations during the 1990s Balkans conflict. "
1826,"January 18, 2018","ICE arrests 46 in western New York operation targeting criminal aliens, illegal re-entrants, and other immigration violators",|Enforcement and Removal,"Criminal convictions of those arrested included: felony grand larceny, firearms possession, drug possession, child endangerment, abuse, driving under the influence of alcohol or a controlled substance, and forgery."
1827,"January 18, 2018",New Hampshire man pleads guilty to producing child pornography in ICE case,|Child Exploitation,"Matthew Felton, 38, of Somersworth, New Hampshire, pleaded guilty in federal court to one count of production of child pornography."
1828,"January 17, 2018",Justice Department appoints HSI to new Hezbollah investigation team,|Operational,"U.S. Attorney General Jeff Sessions announced Thursday, Jan. 11, the participation of ICE's HSI in the Hezbollah Financing and Narcoterrorism Team, a new group of prosecutors and investigators tasked with investigating individuals and networks providing support to Hezbollah."
1829,"January 17, 2018","ICE, 17 FL sheriffs announce new enforcement partnership",|Operational,"Recognizing these challenges, the National Sheriffs’ Association (NSA) and the Major County Sheriffs of America (MCSA) worked with ICE to develop a new process to clarify that aliens held by these jurisdictions are held under the color of federal authority, thereby affording local law enforcement liability protection from potential litigation as a result of faithfully executing their public safety duties."
1830,"January 15, 2018",ICE HSI Columbus special agents featured in Showtime documentary series,|Narcotics,"“The Trade” is scheduled to premiere on Showtime at 9 PM EST, Friday, Feb 2. 2018."
1831,"January 12, 2018","5 South Texas men sentenced to 11½ to 35 years in federal prison following their conviction on synthetic narcotics, firearms charges",|Narcotics,"Longino Castillo, 27, and Isaiah Martinez, 20, both pleaded guilty to conspiracy to possess with intent to distribute methamphetamine, and possessing a firearm in furtherance of a drug trafficking crime. Castillo was also convicted of possessing a machine-gun conversion device. Michael Molina, 25, Justin Ray Flores, 36, and Manuel Garcia, 31, all pleaded guilty to conspiracy to possess with intent to distribute a synthetic cannabinoid. Molina further admitted to possessing a firearm in furtherance of a drug trafficking crime, and being felon possessing a firearm."
1832,"January 12, 2018","Last of 2 illegal aliens from Mexico sentenced to 12 years for trafficking cocaine, illegal re-entry",|Narcotics,"Luis Mendoza-Alarcon, 46, and co-defendant Giovanni Montijo-Dominguez, 37, also from Mexico, were both arrested Oct. 7, 2014, and charged by criminal complaint with cocaine trafficking.  They were indicted Nov. 5, 2014, and both were charged with cocaine trafficking; Montijo-Dominguez also was charged with illegal re-entry to the United States."
1833,"January 12, 2018",Acting Boss of Bonanno organized crime family and 9 other members of La Cosa Nostra indicted for racketeering and related charges,|Financial Crimes,"The indictment charges eight members of the Bonanno Family: Acting Boss Joseph Cammarano, Jr., Consigliere John Zancocchio, Joseph Sabella, George Tropiano, Albert Armetta, Domenick Miniero, Joseph Santapaolo, and Simone Esposito, all with with racketeering conspiracy involving a wide range of crimes, including extortion, loansharking, wire and mail fraud, narcotics distribution, and conspiracy to commit murder. Genovese Family member Ernest Montevecchi is charged with participating in that conspiracy as well. Several of the defendants and Luchese Family member Eugene Castelle are charged with conspiracy to commit extortion. Armetta is additionally charged with assault resulting in serious bodily injury in aid of racketeering, and aiding and abetting the same."
1834,"January 11, 2018",Wisconsin man sentenced to 21 years in federal prison to sex trafficking girls and young women,|Human Smuggling/Trafficking,"Paul Carter, 47, of Milwaukee, was sentenced Wednesday to 21 years in prison, reduced by three years for time served.  On Oct. 6, 2017, he pleaded guilty to four counts of sex trafficking by force, fraud, or coercion, and one count of conspiracy to commit forced labor and sex trafficking."
1835,"January 11, 2018",HSI Detroit special agent appears on Crime Watch Daily,|Operational,"It was approximately one year ago that Forys, an ICE HSI Detroit special agent, and nearly 200 other law enforcement personnel descended on the Victory Inn in one of the largest human trafficking enforcement operations in Detroit history."
1836,"January 10, 2018",South Texas man sentenced to more than 7½ years in federal prison for alien harboring conspiracy,|Human Smuggling/Trafficking,"Jesus Osorio, 43, from Laredo, was sentenced Jan. 10 by U.S. District Judge Marina Garcia Marmolejo to 87 months in prison to be followed by three years of supervised release."
1837,"January 10, 2018",Worksite enforcement targets employment law violators,|Worksite Enforcement,"Ensuring each of its employees is legally authorized to work in the United States is one of many responsibilities facing every American business, from small start-up operations to our country’s largest and most prosperous corporations."
1838,"January 10, 2018",ICE Chicago removes former Bosnian Serbian Army officer who lied to obtain immigration benefits,|Enforcement and Removal,"On Jan. 28, 2016, Jovo Asentic, 65, was ordered removed by a federal immigration judge after he failed to disclose his service in the Army of Republika Srpska (the Bosnian Serb Army, abbreviated VRS) during the 1992-1995 Bosnian conflict.  He purposely failed to disclose his VRS service in his U.S. immigration applications."
1839,"January 10, 2018",ICE arrests 22 in Chicago area during 3-day operation targeting criminal aliens and immigration fugitives,|Enforcement and Removal,"During this operation, ERO deportation officers made arrests in the following Illinois cities and towns: Chicago (9), Cicero (4), Hoffman Estates (1), Palatine (4), Park City (1), Rolling Meadows (2) and Round Lake Beach (1). All those arrested were men between the ages of 20 and 53."
1840,"January 9, 2018",CDF Corp. signs on as latest Massachusetts company to join ICE’s IMAGE employment compliance program,|Worksite Enforcement,CDF Corporation becomes the eleventh company in Massachusetts to date to sign on to the IMAGE program.
1841,"January 9, 2018",2 Mexican men receive lengthy federal prison sentences for trafficking marijuana in South Texas,|Narcotics,"On Jan. 9, U.S. District Judge Andrew Hanen sentenced Oscar Erick Calvillo-Lores, 37, of Reynosa, Tamulipas, Mexico, to 10 years; Jose Manuel Portillo-Guerrero, 42, of Valadeces, Tamulipas, Mexico, was ordered to serve a total of 192 months in federal prison."
1842,"January 9, 2018",Mexican man pleads guilty in South Texas for importing methamphetamine,|Narcotics,"Ricardo Muñoz-Vega, 35, from Pesqueria, Nuevo Leon, Mexico, admitted to transporting methamphetamine across the Lincoln-Juarez Bridge in Laredo."
1843,"January 7, 2018",Pennsylvania man arrested for attempting to engage in illicit sexual contact with minors in the Philippines,|Child Exploitation,"HSI Philadelphia was alerted by HSI Portland, Maine, that Jack Russel Bristol, 61, scheduled to travel from Philadelphia to the Philippines for the purposes of the sexual abuse of minor children."
1844,"January 5, 2018",Indiana man sentenced to 70 months in federal prison for soliciting child prostitution across state lines,"|Child Exploitation, Human Smuggling/Trafficking",An Indiana man was sentenced in federal court Thursday to more than five years in prison for hiring a pimp to transport a minor across state lines for prostitution. An Indiana man was sentenced in federal court Thursday to more than five years in prison for hiring a pimp to transport a minor across state lines for prostitution. 
1845,"January 2, 2018",4 more members and associates of MS-13 charged in ongoing central Ohio investigation,|Enforcement and Removal,"The 11-count superseding indictment alleges that defendants – members and associates of the MS-13 – conspired to commit extortion through the use of threatened or actual force, violence or fear to intimidate their victims into paying money to the defendants and their co-conspirators."
1846,"December 29, 2017",North Texas man convicted for his role in methamphetamine distribution conspiracy,|Narcotics,"Jeremy Crabtree, 41, from Fort Worth, was convicted last week on one count of conspiracy to possess with intent to distribute 500 grams or more of a mixture and substance containing a detectable amount of methamphetamine. The conspiracy count carries a penalty of not less than 10 years or more than life in federal prison, and a $10 million fine."
1847,"December 29, 2017",6 defendants plead guilty in West Texas to trafficking large quantities of methamphetamine,|Narcotics,"Alejandro Garcia-Izazaga, aka “Flaco” and “Alex,” 29; Anthony Wayne Reiley, aka “Tony,” 49; Ivan Cruz-Martinez, 37; and Zacarias Blanco-Olea, 45, each pleaded guilty before U.S. Magistrate Judge D. Gordon Bryant to one count of possession with intent to distribute 500 grams or more of methamphetamine. Each faces a statutory penalty of not less than 10 years and up to life in federal prison, and a $10 million fine."
1848,"December 28, 2017",2 South Texas women charged with transporting 4 Mexican national minors into the US,|Human Smuggling/Trafficking,"Olga Patricia Reyes, 30, from Laredo residing in Nuevo Laredo, Mexico, and Leslie Chavira, 25, also from Laredo, appeared before U.S. Magistrate Judge Guillermo R. Garcia Dec. 28. Both women were charged with transporting four unaccompanied minor children who are all citizens of Mexico."
1849,"December 27, 2017","Tucson man charged with alien smuggling, high-speed flight, assault on a federal officer, and firearm offenses",|Human Smuggling/Trafficking,"Court documents allege that Roberto Ramirez, 21, of Tucson, arrived at the Border Patrol checkpoint on I-19 near Amado, Dec. 24, while transporting two suspected illegal aliens."
1850,"December 26, 2017",ICE deports convicted Colombian drug kingpin wanted in his home country,|Enforcement and Removal,"Hebert Veloza Garcia, 50, a former leader of Autodefensas Unidas de Colombia or AUC, was deported via ICE Air Operations under escort by ERO deportation officers. Veloza Garcia was transferred into ERO custody from the Bureau of Prisons in October 2016, after serving more than eight years in federal prison. He is wanted by Colombian officials for forced displacement and threats. Veloza admitted in Colombian court that he ordered or personally participated in the killing of dozens while leading the AUC."
1851,"December 22, 2017",56 riflescopes/combat optics seized during joint operation,|Counter Proliferation Investigation Unit,HSI and Department of Commerce OEE Special Agents partner to address vulnerabilities in the export sector and work to conduct Project Shield America (PSA) outreach presentations to certain “reshipper” businesses that are unique to Delaware. 
1852,"December 22, 2017",LA Fashion District company and 2 owners plead guilty in money laundering scheme,|Financial Crimes,Pacific Eurotex Corp. and its owners – Morad “Ben” Neman and Hersel Neman – pleaded guilty yesterday to federal charges in an indictment that accused them of using the business to receive bulk cash that they knew or believed to be the proceeds of narcotics trafficking.
1853,"December 22, 2017",ICE removes MS-13 gang member wanted for involvement in 8 murders,|Enforcement and Removal,"According to Salvadoran authorities, Leandro Cruz aka Jose Arturo Gonzalez Martinez, was involved with the murders of eight, which prompted law enforcement officials there to list him as one El Salvador’s 100 Most Wanted. Cruz, identified as No. 6, is listed as Martinez or “Gasper” on the Salvadoran Los 100 Mas Buscados list."
1854,"December 22, 2017","ICE New York, NYPD dismantle major heroin, cocaine trafficking organization",|Narcotics,"The 21 listed in the indictment are being charged with a variety of criminal offenses including: first, second and third-degree criminal sale of a controlled substance; first, second and third-degree criminal possession of a controlled substance; second and fourth-degree conspiracy; and other related charges. Two individuals, Mario Martinez, 46, of the Bronx and Joan Velez, 36, of the Bronx, have been indicted for operating as major traffickers, moving major narcotics throughout the New York Metropolitan area.  Each face a maximum of 25 years to life in prison if convicted of that charge. "
1855,"December 21, 2017",Italian national pleads guilty to illegally exporting and attempting to export military technology,"|National Security, Counter Proliferation Investigation Unit","Giovanni Zannoni, 35, of Gavorrano, Italy, has pleaded guilty to illegally exporting and attempting to export night vision equipment and assault rifle components.  As part of his plea, Zannoni agreed to forfeit $436,673.73, in addition to the dozens of gun parts and night vision and thermal imaging devices recovered by the government in connection with this prosecution."
1856,"December 21, 2017",Southern Arizona man sentenced to 340 years in prison for possessing and distributing a large collection of child pornography,|Child Exploitation,"The investigation into Kimball Hoff, 61, began in October 2015 when HSI special agents received information regarding child pornography being downloaded and shared from a specific internet protocol address. On Oct. 27, 2015, HSI special agents executed a search warrant at Hoff’s Pima County residence."
1857,"December 19, 2017",Flight attendant charged in federal court with airport security violations,|National Security,"Scott McKinney, a flight attendant, is charged with conspiracy to violate airport security requirements and operation of an unlicensed money transmitting business."
1858,"December 19, 2017",ICE removes Salvadoran fugitive wanted for sex crimes,|Enforcement and Removal,"Elvis Recinos-Agreda, 39, was removed from the country via an ICE Air Operations Charter flight and transferred into the custody of Salvadoran authorities upon arrival to the capital of San Salvador."
1859,"December 19, 2017",ICE detainee charged with 2007 Fort Worth murder,|Enforcement and Removal,"A 30-year-old Mexican national, Juan Eduardo Meraz-Flores, serving his third stint in federal prison for entering the United States illegally, has been charged with murder in connection with the fatal shooting of a Fort Worth auto shop owner in 2007."
1860,"December 19, 2017",Former Phoenix real estate investor and reality TV personality sentenced to 17 years in federal prison for multiple fraud schemes,|Financial Crimes,"Yomtov Scott Menaged, 40, of Phoenix, was sentenced Dec. 19 by U.S. District Judge G. Murray Snow.  Menaged had previously pleaded guilty in October to charges of bank fraud, money laundering, and aggravated identity theft. The court also ordered Menaged to serve 36 months of supervised release after he completes his prison term; he must also pay $33,558,407.76 restitution to the various victims."
1861,"December 18, 2017",Delaware man pleads guilty in child pornography case ,|Child Exploitation,"John B. Alwood, 54,  was identified by HSI Delaware as having accessed an online conferencing application in order to gain sexual gratification by viewing child pornography with other men."
1862,"December 18, 2017","ICE New York trafficking investigation results in criminal conviction, victim rescued",|Human Smuggling/Trafficking,"Sean Price, 39, met the Australian teen online and encouraged her to join him in New York.  The superseding indictment charged him with interstate and foreign enticement to engage in sexual activity, interstate and foreign transportation of a minor to engage in sexual activity, a Mann Act violation, and attempted sexual exploitation of a child."
1863,"December 18, 2017",Pennsylvania man sentenced to 156 months for attempting to entice a minor to engage in illegal sexual activity,|Child Exploitation,"Brian Tate, age 35, previously pleaded guilty to traveling to a hotel to engage in sex with a six-year-old female. Between October 17, 2016 and November 9, 2016, Tate used the internet to arrange for the minor to be brought to the hotel to meet him for sex."
1864,"December 18, 2017",Bosnian human rights abuser pleads guilty to immigration fraud,|Human Rights Violators,"Milan Trisic, 54, pleaded guilty to a single count of obtaining a Permanent Resident Card, commonly referred to as a “green card,” by making materially false claims and statements."
1865,"December 15, 2017",ICE New York investigation leads to arrest of man charged with defrauding company of more than $2M,|Financial Crimes,"Randy Wang, 33, was arrested on charges stemming from his scheme to defraud his former employer, a company based in Manhattan that manages a global airline alliance whose members consisted of approximately 13 international airlines and their affiliates (“Company”), by incurring more than $2.2 million in unauthorized charges on the Company’s credit card account, and then making changes to the Company’s accounting system to evade detection."
1866,"December 15, 2017",ICE removes El Salvadoran fugitive wanted for sexual assault of a minor,|Enforcement and Removal,"ERO deportation officers escorted Jose Martinez, 41, who was removed to San Salvador via an ICE Air Operations Charter flight, and transferred to the custody of El Salvadoran law enforcement authorities."
1867,"December 15, 2017",3 ancient statues repatriated to Lebanese Republic,"|Cultural Property, Art and Antiquities Investigations","Following an investigation by ICE's HSI New York’s Cultural Property, Arts and Antiquities group, in coordination with the Manhattan District Attorney’s Office, three marble statues originally excavated from the Temple of Eshmun in Lebanon were repatriated to their home country. The Consul General of Lebanon in New York accepted the return of the artifacts on behalf of Lebanon."
1868,"December 14, 2017",Homeland Security Investigations stops Brevard County marriage fraud ring,|Document and Benefit Fraud,"“These criminals conspired to circumvent and exploit our nation's immigration laws for personal financial gain,” said HSI Special Agent in Charge James C. Spero. “This undermines the very objectives of our immigration laws and services, which are based on the honesty of the people who apply for immigration benefits.”"
1869,"December 14, 2017",Last of 6 South Texas firearms smugglers sentenced to more than 4 years in federal prison,"|Firearms, Ammunition and Explosives","Ruben Arnoldo Madrid, 21, from Laredo, was sentenced Dec. 14 by U.S. District Judge Diana Saldana to 51 months in prison and three years of supervised release.  On June 2, 2017, Madrid pleaded guilty for his role in smuggling firearms into Mexico."
1870,"December 13, 2017",Federal grand jury indicts North Texas man on producing child pornography charges,|Child Exploitation,"Jon Anthony Terry, 28, of Rockwall, Texas, is currently in custody on a related criminal complaint. A date has not yet been set for him to make his initial appearance."
1871,"December 13, 2017",ICE arrests 4 released after detainers ignored,|Enforcement and Removal,"ICE continues to prioritize its resources to enhance public safety and border security, which is demonstrated by the Fiscal Year 2017 data, which reflects that 92 percent of aliens ICE administratively arrested between January 20, 2017 and the end of FY2017, were removable aliens who had a criminal conviction or a pending criminal charge, were an ICE fugitive, or were an illegal re-entrant."
1872,"December 13, 2017",Pennsylvania man indicted for offenses involving the exploitation of a minor,|Child Exploitation,"Hakeem James Hughes, 28, allegedly coerced and enticed a minor to engage in sex acts for the purpose of making visual images of those acts in Feb. and April 2014. The two-count indictment charges Hughes with production of child pornography on separate dates."
1873,"December 13, 2017",Federal jury convicts Texas business owner of defrauding the City of San Antonio by overcharging $500K in janitorial services,|Financial Crimes,"Geoffrey Comstock, 54, owner and operator of the Frio Nevado Corporation, was convicted Dec. 13 on one count of conspiracy to commit wire fraud and six substantive counts of wire fraud."
1874,"December 12, 2017",7 members and associates of the Gambino and Bonanno crime families indicted for racketeering and related charges,|Narcotics,"The superseding indictment relates to the alleged criminal activities on Long Island, in Brooklyn, and elsewhere between January 2014 and December 2017 of the following individuals: John “Johnny Boy” Ambrosio, an acting captain in the Gambino family, Frank “Frankie Boy” Salerno, a soldier in the Bonanno family, Thomas Anzalone, Alessandro “Sandro” Damelio, Joseph Durso, Anthony Rodolico and Anthony Saladino, associates of the Gambino family."
1875,"December 12, 2017",Pennsylvania man indicted by a federal grand jury on false visa charges,|Document and Benefit Fraud,"Daniel Cabanillas, 47, from Erie, Pennsylvania, has been indicted by a federal grand jury in Erie, on charges of use of a false visa, following an investigation led by ICE's HSI Pittsburg and U.S. Border Patrol."
1876,"December 12, 2017",Actor pleads guilty to possessing large collection of child pornography found on his home computer,|Child Exploitation,"Actor Mark Wayne Salling pleaded guilty Monday to a federal offense of possessing child pornography and specifically admitted that he possessed approximately 25,000 images of children engaged in sexual conduct."
1877,"December 12, 2017",Chicago-area man sentenced to 2 years in federal prison for producing steroid pills in his makeshift home lab,|Contraband,"Christopher C. Hickson, 25, used bulk powders he had imported from China to manufacture anabolic steroid pills."
1878,"December 12, 2017","ICE arrests 101 in New Jersey operation targeting criminal aliens, illegal re-entrants and immigration violators",|Enforcement and Removal,"Of those arrested during the operation, which was spearheaded by ICE Enforcement and Removal Operations (ERO), 88 percent were convicted criminals and 80 percent of them had prior felony convictions."
1879,"December 11, 2017",Former owner and manager of Long Island catering hall indicted for forced labor and visa fraud,|Human Smuggling/Trafficking,"Ralph Colamussi, 61, of East Northport, NY and Roberto Villanueva, 60, residing in the Philippines, are alleged to have forced immigrants to work without pay at The Thatched Cottage in Centerport.  Each are being charged with conspiring to engage in forced labor of immigrants and visa fraud, as well as related substantive counts, fraud in foreign labor contracting and fraudulent inducement of aliens to enter and remain in the United States in violation of law."
